2026-09-02 14:09:44,813 | INFO | insurance_app | Application starting.
2026-09-02 14:09:44,813 | INFO | insurance_app | Checking default admin.
2026-09-02 14:09:44,937 | ERROR | insurance_app | Default admin creation failed : (sqlite3.OperationalError) no such table: users
[SQL: SELECT users.id AS users_id, users.full_name AS users_full_name, users.email AS users_email, users.phone AS users_phone, users.password_hash AS users_password_hash, users.role AS users_role, users.is_active AS users_is_active, users.created_at AS users_created_at, users.updated_at AS users_updated_at 
FROM users 
WHERE users.role = ?
 LIMIT ? OFFSET ?]
[parameters: ('SUPER_ADMIN', 1, 0)]
(Background on this error at: https://sqlalche.me/e/20/e3q8)
2026-09-02 14:09:44,938 | INFO | insurance_app | Application started successfully.
2026-09-02 15:21:43,165 | INFO | insurance_app | Application starting.
2026-09-02 15:21:43,166 | INFO | insurance_app | Checking default admin.
2026-09-02 15:21:43,846 | INFO | insurance_app | Default admin created successfully : admin@example.com
2026-09-02 15:21:43,846 | INFO | insurance_app | Application started successfully.
2026-09-02 18:30:24,186 | INFO | insurance_app | Login attempt : admin@example.com
2026-09-02 18:30:24,950 | INFO | insurance_app | Login successful : admin@example.com
2026-09-02 18:31:15,767 | INFO | insurance_app | Login attempt : admin@example.com
2026-09-02 18:31:16,027 | WARNING | insurance_app | HTTP 401 : Invalid email or password. : POST /api/v1/auth/login
2026-09-02 18:31:28,081 | INFO | insurance_app | Login attempt : admin@example.com
2026-09-02 18:31:28,340 | INFO | insurance_app | Login successful : admin@example.com
2026-09-02 18:32:18,874 | INFO | insurance_app | Refresh token requested.
2026-09-02 18:32:18,875 | INFO | insurance_app | Access token refreshed : admin@example.com
2026-09-02 18:33:00,762 | INFO | insurance_app | Registration started : ravi.agent@example.com, requested role=INSURANCE_AGENT
2026-09-02 18:33:01,223 | INFO | insurance_app | User registered successfully : ravi.agent@example.com, role=INSURANCE_AGENT
2026-09-02 18:33:39,024 | INFO | insurance_app | Registration started : sunita.claims@example.com, requested role=CLAIMS_OFFICER
2026-09-02 18:33:39,471 | INFO | insurance_app | User registered successfully : sunita.claims@example.com, role=CLAIMS_OFFICER
